🇭🇰港澳台,#genre#
無線新聞台,http://aktv-stream.m16tv.cfd/stream/aktv/null-1/AKTV.m3u8
鳳凰中文,http://aktv-stream.m16tv.cfd/stream/aktv/null-3/AKTV.m3u8
鳳凰資訊,http://aktv-stream.m16tv.cfd/stream/aktv/null-4/AKTV.m3u8
鳳凰香港,http://aktv-stream.m16tv.cfd/stream/aktv/null-5/AKTV.m3u8

凤凰资讯,http://extraott.com:80/live/6772191932/1654508883/62829.m3u8
 凤凰香港,http://extraott.com:80/live/6772191932/1654508883/473557.m3u8
 香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv

美亞電影台(HK),http://aktv-stream.m16tv.cfd/stream/aktv/hk-1/AKTV.m3u8
翡翠台,http://aktv-stream.m16tv.cfd/stream/aktv/null/AKTV.m3u8
翡翠台 4K,http://aktv-stream.m16tv.cfd/stream/aktv/4k/AKTV.m3u8
中天新聞台,http://aktv-stream.m16tv.cfd/stream/aktv/null-6/AKTV.m3u8
千禧經典台(HK),http://aktv-stream.m16tv.cfd/stream/aktv/null-15/AKTV.m3u8
娛樂新聞台(HK),http://aktv-stream.m16tv.cfd/stream/aktv/hk/AKTV.m3u8
寰宇新聞台,http://aktv-stream.m16tv.cfd/stream/aktv/null-7/AKTV.m3u8
明珠台,http://aktv-stream.m16tv.cfd/stream/aktv/null-2/AKTV.m3u8
黃金翡翠台,http://aktv-stream.m16tv.cfd/stream/aktv/null-21/AKTV.m3u8
Love Nature HD,http://aktv-stream.m16tv.cfd/stream/aktv2/lovenaturehd/AKTV.m3u8
亞洲新聞台,http://aktv-stream.m16tv.cfd/stream/aktv3/null-3/AKTV.m3u8
東方衛視國際頻道,http://aktv-stream.m16tv.cfd/stream/aktv3/null/AKTV.m3u8
無線衛星新聞台,http://aktv-stream.m16tv.cfd/stream/aktv3/null-2/AKTV.m3u8
曼聯電視頻道,http://aktv-stream.m16tv.cfd/stream/astro_a1/ch87/AKTV.m3u8
朝鮮恩情台,http://aktv-stream.m16tv.cfd/stream/nknews/null/AKTV.m3u8
三立新聞iNEWS,http://aktv-stream.m16tv.cfd/stream/taiwan/inews/AKTV.m3u8
中視,http://aktv-stream.m16tv.cfd/stream/taiwan/null-4/AKTV.m3u8
中視新聞,http://aktv-stream.m16tv.cfd/stream/taiwan/null-13/AKTV.m3u8
倪珍英語新聞,http://aktv-stream.m16tv.cfd/stream/taiwan/null-1/AKTV.m3u8
台視,http://aktv-stream.m16tv.cfd/stream/taiwan/null-3/AKTV.m3u8
台視新聞,http://aktv-stream.m16tv.cfd/stream/taiwan/null-15/AKTV.m3u8
華視,http://aktv-stream.m16tv.cfd/stream/taiwan/null-5/AKTV.m3u8
龍華經典台,http://aktv-stream.m16tv.cfd/stream/taiwan/null/AKTV.m3u8
龍華電影台,http://aktv-stream.m16tv.cfd/stream/taiwan/null-8/AKTV.m3u8


🇨🇳央视频,#genre#
CCTV1,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001859
CCTV2,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001800
CCTV4,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001814
CCTV5,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001818
CCTV5,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001817
CCTV6,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600108442
CCTV7,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600004092
CCTV8,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001803
CCTV9,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600004078
CCTV10,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001805
CCTV11,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001806
CCTV12,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001807
CCTV13,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001811
CCTV14,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001809
CCTV15,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001815
CCTV16,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600098637
CCTV17,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001810
CGTN,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600014550
CGTN纪录,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600084781
CGTN俄语,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600084758
CGTN法语,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600084704
CGTN西语,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600084744
CGTN阿语,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600084782
CCTV4K,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002264
风云剧场,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600099658
第一剧场,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600099655
怀旧剧场,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600099620

🌟央视网,#genre#
CCTV1,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv1/
CCTV2,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv2/
CCTV3,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv3/
CCTV4,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv4/
CCTV5,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv5/
CCTV5,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv5plus/
CCTV6,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv6/
CCTV7,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv7/
CCTV8,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv8/
CCTV9,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.cctv.com/live/cctvjilu/
CCTV10,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv10/
CCTV11,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv11/
CCTV12,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv12/
CCTV13,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv13/
CCTV14,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.cctv.com/live/cctvchild/
CCTV15,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv15/
CCTV16,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv16/
CCTV17,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv17/
CCTV4欧洲,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.cctv.com/live/cctveurope/index.shtml
CCTV4美洲,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.cctv.com/live/cctvamerica/

CETV1,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.gxtv.cn/channel/channelivePlay_ffa6b6e1b32b4a16a73eb3ef66f8bfc7.html
CETV2,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.gxtv.cn/channel/channelivePlay_80d0ffb42c114eaf9663708629ff0a3e.html
CETV4,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://tv.gxtv.cn/channel/channelivePlay_67eace939278435bb4bca90800fb4225.html

📡卫视,#genre#
北京卫视,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002309
江苏卫视,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002521
东方卫视,https://d.kstore.dev/download/8936/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002483
